"id","name","cost","converted_cost","type","text","stats","rarity"
175189,"Blade Instructor","{2}{W}",3,"Creature - Human Soldier","Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)","3/1","common"
183387,"Feral Maaka","{1}{R}",2,"Creature - Cat",,"2/2","common"
183413,"Enraged Ceratok","{2}{G}{G}",4,"Creature - Rhino","Enraged Ceratok can't be blocked by creatures with power 2 or less.","4/4","uncommon"
192687,"Evolving Wilds",,0,"Land","{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",,"common"
187139,"Ob Nixilis, the Hate-Twisted","{3}{B}{B}",5,"Legendary Planeswalker - Nixilis","Whenever an opponent draws a card, Ob Nixilis, the Hate-Twisted deals 1 damage to that player.\n[−2]: Destroy target creature. Its controller draws two cards.","5","uncommon"
175203,"Temple Garden",,0,"Land - Forest Plains","({T}: Add {G} or {W}.)\nAs Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,"rare"
199498,"Queen of Ice","{2}{U}",3,"Creature - Human Noble Wizard","Whenever Queen of Ice deals combat damage to a creature, tap that creature. It doesn't untap during its controller's next untap step.","2/3","common"
176732,"Creeping Chill","{3}{B}",4,"Sorcery","Creeping Chill deals 3 damage to each opponent and you gain 3 life.\nWhen Creeping Chill is put into your graveyard from your library, you may exile it. If you do, Creeping Chill deals 3 damage to each opponent and you gain 3 life.",,"uncommon"
176690,"Garrison Sergeant","{3}{R}{W}",5,"Creature - Viashino Soldier","Garrison Sergeant has double strike as long as you control a Gate.","3/3","common"
176835,"Flourish","{4}{G}{W}",7,"Sorcery","Creatures you control get +2/+2 until end of turn.",,"uncommon"
188174,"Tenth District Legionnaire","{R}{W}",2,"Creature - Human Soldier","Haste\nWhenever you cast a spell that targets Tenth District Legionnaire, put a +1/+1 counter on Tenth District Legionnaire, then scry 1.","2/2","uncommon"
192830,"Cavalier of Dawn","{2}{W}{W}{W}",5,"Creature - Elemental Knight","Vigilance\nWhen Cavalier of Dawn enters the battlefield, destroy up to one target nonland permanent. Its controller creates a 3/3 colorless Golem artifact creature token.\nWhen Cavalier of Dawn dies, return target artifact or enchantment card from your graveyard to your hand.","4/6","mythic"
198393,"Run Away Together","{1}{U}",2,"Instant","Choose two target creatures controlled by different players. Return those creatures to their owners' hands.",,"common"
199008,"Knight of the Keep","{2}{W}",3,"Creature - Human Knight",,"3/2","common"
176908,"Goblin Locksmith","{1}{R}",2,"Creature - Goblin Rogue","Whenever Goblin Locksmith attacks, creatures with defender can't block this turn.","2/1","common"
183384,"Slimebind","{1}{U}",2,"Enchantment - Aura","Flash\nEnchant creature\nEnchanted creature gets -4/-0.",,"common"
188349,"Chandra's Pyrohelix","{1}{R}",2,"Instant","Chandra's Pyrohelix deals 2 damage divided as you choose among one or two targets.",,"common"
183411,"Carrion Imp","{3}{B}",4,"Creature - Imp","Flying\nWhen Carrion Imp enters the battlefield, you may exile target creature card from a graveyard. If you do, you gain 2 life.","2/3","common"
183381,"Prowling Caracal","{1}{W}",2,"Creature - Cat",,"3/1","common"
183202,"Arrester's Admonition","{2}{U}",3,"Instant","Return target creature to its owner's hand.\nAddendum - If you cast this spell during your main phase, draw a card.",,"common"
176450,"Arboretum Elemental","{7}{G}{G}",9,"Creature - Elemental","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.)\nHexproof (This creature can't be the target of spells or abilities your opponents control.)","7/5","uncommon"
199413,"Happily Ever After","{2}{W}",3,"Enchantment","When Happily Ever After enters the battlefield, each player gains 5 life and draws a card.\nAt the beginning of your upkeep, if there are five colors among permanents you control, there are six or more card types among permanents you control and/or cards in your graveyard, and your life total is greater than or equal to your starting life total, you win the game.",,"rare"
176905,"Bartizan Bats","{3}{B}",4,"Creature - Bat","Flying (This creature can't be blocked except by creatures with flying or reach.)","3/1","common"
198425,"Alela, Artful Provocateur","{1}{W}{U}{B}",4,"Legendary Creature - Faerie Warlock","Flying, deathtouch, lifelink\nOther creatures you control with flying get +1/+0.\nWhenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying.","2/3","mythic"
194914,"Chulane, Teller of Tales","{2}{G}{W}{U}",5,"Legendary Creature - Human Druid","Vigilance\nWhenever you cast a creature spell, draw a card, then you may put a land card from your hand onto the battlefield.\n{3}, {T}: Return target creature you control to its owner's hand.","2/4","mythic"
183176,"Gruul Beastmaster","{3}{G}",4,"Creature - Human Shaman","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)\nWhenever Gruul Beastmaster attacks, another target creature you control gets +X/+0 until end of turn, where X is Gruul Beastmaster's power.","2/2","uncommon"
199287,"Castle Embereth",,0,"Land","Castle Embereth enters the battlefield tapped unless you control a Mountain.\n{T}: Add {R}.\n{1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.",,"rare"
199556,"Torbran, Thane of Red Fell","{1}{R}{R}{R}",4,"Legendary Creature - Dwarf Noble","If a red source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.","2/4","rare"
175184,"Moodmark Painter","{2}{B}{B}",4,"Creature - Human Shaman","Undergrowth - When Moodmark Painter enters the battlefield, target creature gains menace and gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard. (It can't blocked except by two or more creatures.)","2/3","common"
176724,"Ledev Guardian","{3}{W}",4,"Creature - Human Knight","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.)","2/4","common"
199095,"Ferocity of the Wilds","{2}{R}",3,"Enchantment","Attacking non-Human creatures you control get +1/+0 and have trample.",,"uncommon"
188637,"Finale of Revelation","{X}{U}{U}",2,"Sorcery","Draw X cards. If X is 10 or more, instead shuffle your graveyard into your library, draw X cards, untap up to five lands, and you have no maximum hand size for the rest of the game.\nExile Finale of Revelation.",,"mythic"
182230,"Bedevil","{B}{B}{R}",3,"Instant","Destroy target artifact, creature, or planeswalker.",,"rare"
198996,"Sorcerous Spyglass","{2}",2,"Artifact","As Sorcerous Spyglass enters the battlefield, look at an opponent's hand, then choose any card name.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities.",,"rare"
192583,"Repeated Reverberation","{2}{R}{R}",4,"Instant","When you next cast an instant spell, cast a sorcery spell, or activate a loyalty ability this turn, copy that spell or ability twice. You may choose new targets for the copies.",,"rare"
199211,"On Alert","{2}{W}",2,"Instant - Adventure","Target creature gets +2/+2 until end of turn. Untap it. (Then exile this spell. You may cast the creature later from exile.)",,"common"
192879,"Epicure of Blood","{4}{B}",5,"Creature - Vampire","Whenever you gain life, each opponent loses 1 life.","4/4","common"
192966,"Riddlemaster Sphinx","{4}{U}{U}",6,"Creature - Sphinx","Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Riddlemaster Sphinx enters the battlefield, you may return target creature an opponent controls to its owner's hand.","5/5","rare"
189028,"Angrath, Captain of Chaos","{2}{B/R}{B/R}",4,"Legendary Planeswalker - Angrath","Creatures you control have menace.\n[−2]: Amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)","5","uncommon"
199506,"The Great Henge","{7}{G}{G}",9,"Legendary Artifact","This spell costs {X} less to cast, where X is the greatest power among creatures you control.\n{T}: Add {G}{G}. You gain 2 life.\nWhenever a nontoken creature enters the battlefield under your control, put a +1/+1 counter on it and draw a card.",,"mythic"
183441,"Tower Defense","{1}{G}",2,"Instant","Creatures you control get +0/+5 and gain reach until end of turn.",,"uncommon"
187211,"Davriel, Rogue Shadowmage","{2}{B}",3,"Legendary Planeswalker - Davriel","At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, Davriel, Rogue Shadowmage deals 2 damage to them.\n[−1]: Target player discards a card.","3","uncommon"
183415,"Gift of Strength","{1}{G}",2,"Instant","Target creature gets +3/+3 and gains reach until end of turn.",,"common"
192909,"Grafdigger's Cage","{1}",1,"Artifact","Creature cards in graveyards and libraries can't enter the battlefield.\nPlayers can't cast spells from graveyards or libraries.",,"rare"
175178,"Thought Erasure","{U}{B}",2,"Sorcery","Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.\nSurveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"uncommon"
188390,"Martyr for the Cause","{1}{W}",2,"Creature - Human Soldier","When Martyr for the Cause dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)","2/2","common"
182119,"Rakdos Firewheeler","{B}{B}{R}{R}",4,"Creature - Human Rogue","When Rakdos Firewheeler enters the battlefield, it deals 2 damage to target opponent and 2 damage to up to one target creature or planeswalker.","4/3","uncommon"
183353,"Code of Constraint","{2}{U}",3,"Instant","Target creature gets -4/-0 until end of turn.\nDraw a card.\nAddendum - If you cast this spell during your main phase, tap that creature and it doesn't untap during its controller's next untap step.",,"uncommon"
175199,"Ral, Izzet Viceroy","{3}{U}{R}",5,"Legendary Planeswalker - Ral","[+1]: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.\n[−3]: Ral, Izzet Viceroy deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard.\n[−8]: You get an emblem with ""Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.""","5","mythic"
192596,"Loaming Shaman","{2}{G}",3,"Creature - Centaur Shaman","When Loaming Shaman enters the battlefield, target player shuffles any number of target cards from their graveyard into their library.","3/2","uncommon"
176885,"Circuitous Route","{3}{G}",4,"Sorcery","Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle your library.",,"uncommon"
192555,"Convolute","{2}{U}",3,"Instant","Counter target spell unless its controller pays {4}.",,"common"
192950,"Concordia Pegasus","{1}{W}",2,"Creature - Pegasus","Flying (This creature can't be blocked except by creatures with flying or reach.)","1/3","common"
198400,"Embereth Shieldbreaker","{1}{R}",2,"Creature - Human Knight",,"2/1","uncommon"
192986,"Aggressive Mammoth","{3}{G}{G}{G}",6,"Creature - Elephant","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther creatures you control have trample.","8/8","rare"
187186,"Dovin's Veto","{W}{U}",2,"Instant","This spell can't be countered.\nCounter target noncreature spell.",,"uncommon"
183374,"Justiciar's Portal","{1}{W}",2,"Instant","Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.",,"common"
199349,"Garenbrig Carver","{3}{G}",4,"Creature - Human Warrior",,"3/2","common"
192504,"Corpse Knight","{W}{B}",2,"Creature - Zombie Knight","Whenever another creature enters the battlefield under your control, each opponent loses 1 life.","2/2","uncommon"
192965,"Phantom Warrior","{1}{U}{U}",3,"Creature - Illusion Warrior","Phantom Warrior can't be blocked.","2/2","common"
192920,"Stone Golem","{5}",5,"Artifact Creature - Golem",,"4/4","common"
192544,"Leyline of the Void","{2}{B}{B}",4,"Enchantment","If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.\nIf a card would be put into an opponent's graveyard from anywhere, exile it instead.",,"rare"
192538,"Infuriate","{R}",1,"Instant","Target creature gets +3/+2 until end of turn.",,"common"
198407,"Syr Konrad, the Grim","{3}{B}{B}",5,"Legendary Creature - Human Knight","Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent.\n{1}{B}: Each player puts the top card of their library into their graveyard.","5/4","uncommon"
198778,"Robber of the Rich","{1}{R}",2,"Creature - Human Archer Rogue","Reach, haste\nWhenever Robber of the Rich attacks, if defending player has more cards in hand than you, exile the top card of their library. During any turn you attacked with a Rogue, you may cast that card and you may spend mana as though it were mana of any color to cast that spell.","2/2","mythic"
176886,"Rampaging Monument","{4}",4,"Artifact Creature - Cleric","Trample\nRampaging Monument enters the battlefield with three +1/+1 counters on it.\nWhenever you cast a multicolored spell, put a +1/+1 counter on Rampaging Monument.","0/0","uncommon"
192653,"Thicket Crasher","{3}{G}",4,"Creature - Elemental Rhino","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther Elementals you control have trample.","4/3","common"
176739,"Piston-Fist Cyclops","{1}{U/R}{U/R}",3,"Creature - Cyclops","Defender\nAs long as you've cast an instant or sorcery spell this turn, Piston-Fist Cyclops can attack as though it didn't have defender.","4/3","common"
198574,"Flaxen Intruder","{G}",1,"Creature - Human Berserker","Whenever Flaxen Intruder deals combat damage to a player, you may sacrifice it. When you do, destroy target artifact or enchantment.","1/2","uncommon"
176738,"Lotleth Giant","{6}{B}",7,"Creature - Zombie Giant","Undergrowth - When Lotleth Giant enters the battlefield, it deals 1 damage to target opponent for each creature card in your graveyard.","6/5","uncommon"
192910,"Healer of the Glade","{G}",1,"Creature - Elemental","When Healer of the Glade enters the battlefield, you gain 3 life.","1/2","common"
199539,"Kenrith's Transformation","{1}{G}",2,"Enchantment - Aura","Enchant creature\nWhen Kenrith's Transformation enters the battlefield, draw a card.\nEnchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)",,"uncommon"
199253,"Oaken Boon","{3}{G}",6,"Sorcery - Adventure","Put two +1/+1 counters on target creature. (Then exile this card. You may cast the creature later from exile.)",,"common"
192636,"Steel Overseer","{2}",2,"Artifact Creature - Construct","{T}: Put a +1/+1 counter on each artifact creature you control.","1/1","rare"
183305,"Dovin's Automaton","{4}",4,"Artifact Creature - Homunculus","As long as you control a Dovin planeswalker, Dovin's Automaton gets +2/+2 and has vigilance. (Attacking doesn't cause it to tap.)","3/3","uncommon"
192772,"Gnarlback Rhino","{2}{G}{G}",4,"Creature - Rhino","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nWhenever you cast a spell that targets Gnarlback Rhino, draw a card.","4/4","uncommon"
192634,"Cerulean Drake","{1}{U}",2,"Creature - Drake","Flying\nProtection from red (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything red.)\nSacrifice Cerulean Drake: Counter target spell that targets you.","1/1","uncommon"
192905,"Gift of Paradise","{2}{G}",3,"Enchantment - Aura","Enchant land\nWhen Gift of Paradise enters the battlefield, you gain 3 life.\nEnchanted land has ""{T}: Add two mana of any one color.""",,"common"
198863,"Curious Pair","{1}{G}",2,"Creature - Human Peasant",,"1/3","common"
189014,"Tibalt, Rakish Instigator","{2}{R}",3,"Legendary Planeswalker - Tibalt","Your opponents can't gain life.\n[−2]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""","5","uncommon"
176919,"Sprouting Renewal","{2}{G}",3,"Sorcery","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nChoose one -\n• Create a 2/2 green and white Elf Knight creature token with vigilance.\n• Destroy target artifact or enchantment.",,"uncommon"
192898,"Keldon Raider","{2}{R}{R}",4,"Creature - Human Warrior","When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.","4/3","common"
192639,"Herald of the Sun","{4}{W}{W}",6,"Creature - Angel","Flying\n{3}{W}: Put a +1/+1 counter on another target creature with flying.","4/4","uncommon"
194913,"Arcane Signet","{2}",2,"Artifact","{T}: Add one mana of any color in your commander's color identity.",,"common"
176883,"Intrusive Packbeast","{4}{W}",5,"Creature - Beast","Vigilance\nWhen Intrusive Packbeast enters the battlefield, tap up to two target creatures your opponents control.","3/3","common"
199497,"Merfolk Secretkeeper","{U}",1,"Creature - Merfolk Wizard",,"0/4","common"
176064,"Bounty Agent","{1}{W}",2,"Creature - Human Soldier","Vigilance\n{T}, Sacrifice Bounty Agent: Destroy target legendary permanent that's an artifact, creature, or enchantment.","2/2","rare"
199539,"Kenrith's Transformation","{1}{G}",2,"Enchantment - Aura","Enchant creature\nWhen Kenrith's Transformation enters the battlefield, draw a card.\nEnchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)",,"uncommon"
183348,"Arrester's Zeal","{W}",1,"Instant","Target creature gets +2/+2 until end of turn.\nAddendum - If you cast this spell during your main phase, that creature gains flying until end of turn.",,"common"
198819,"Taste of Death","{4}{B}{B}",6,"Sorcery","Each player sacrifices three creatures. You create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",,"rare"
192611,"Omnath, Locus of the Roil","{1}{G}{U}{R}",4,"Legendary Creature - Elemental","When Omnath, Locus of the Roil enters the battlefield, it deals damage to any target equal to the number of Elementals you control.\nWhenever a land enters the battlefield under your control, put a +1/+1 counter on target Elemental you control. If you control eight or more lands, draw a card.","3/3","mythic"
